algorithm,k,w,density
Mod minimizer,15,31,0.06241187376623273
Mod minimizer,16,31,0.06214493217398261
Mod minimizer,17,31,0.06269800316805069
Mod minimizer,18,31,0.06280606770315095
Mod minimizer,19,31,0.06240512329221926
Mod minimizer,20,31,0.06234118448250517
Mod minimizer,21,31,0.0623752475049501
Mod minimizer,22,31,0.0625703139765935
Mod minimizer,23,31,0.062383372434193556
Mod minimizer,24,31,0.0625924396261114
Mod minimizer,25,31,0.06234949638791331
Mod minimizer,26,31,0.06242556063901598
Mod minimizer,27,31,0.062373621714164565
Mod minimizer,28,31,0.06245068616852655
Mod minimizer,29,31,0.06277475769321542
Mod minimizer,30,31,0.06250181255256403
Mod minimizer,31,31,0.06270888126643799
Mod minimizer,32,31,0.06268194314023735
Mod minimizer,33,31,0.06256500208006656
Mod minimizer,34,31,0.06237605840992753
Mod minimizer,35,31,0.04773462297718122
Mod minimizer,36,31,0.04769566934842719
Mod minimizer,37,31,0.0475307111055998
Mod minimizer,38,31,0.04748475693600663
Mod minimizer,39,31,0.04765681095881644
Mod minimizer,40,31,0.047699860294551484
Mod minimizer,41,31,0.04756990279611185
Mod minimizer,42,31,0.04764695352509453
Mod minimizer,43,31,0.0476890029381234
Mod minimizer,44,31,0.04776105372531019
Mod minimizer,45,31,0.04768509814431835
Mod minimizer,46,31,0.047570140656329536
Mod minimizer,47,31,0.04747218372045114
Mod minimizer,48,31,0.04771324252239855
Mod minimizer,49,31,0.047624285965726355
Mod minimizer,50,31,0.0477773410897134
Mod minimizer,51,31,0.04775838791939597
Mod minimizer,52,31,0.04755542532669166
Mod minimizer,53,31,0.047788485001220064
Mod minimizer,54,31,0.04764352510683066
Mod minimizer,55,31,0.047527566488590384
Mod minimizer,56,31,0.04750561280870448
Mod minimizer,57,31,0.047648668325426226
Mod minimizer,58,31,0.04767671757290166
Mod minimizer,59,31,0.04752175626186319
Mod minimizer,60,31,0.04765281151587944
Mod minimizer,61,31,0.0476738604316259
Mod minimizer,62,31,0.04766090731534624
Mod minimizer,63,31,0.047649954297166425
Mod minimizer,64,31,0.047631000753047444
Mod minimizer,65,31,0.04765304979518689
Mod minimizer,66,31,0.04267677399030937
Mod minimizer,67,31,0.0424758034030246
Mod minimizer,68,31,0.04244284367052593
Mod minimizer,69,31,0.04256889468483857
Mod minimizer,70,31,0.04257293753268976
Mod minimizer,71,31,0.04265098556898983
Mod minimizer,72,31,0.0425390202704392
Mod minimizer,73,31,0.042537062668512135
Mod minimizer,74,31,0.0426211113411279
Mod minimizer,75,31,0.042716160995913695
Mod minimizer,76,31,0.042588194114558595
Mod minimizer,77,31,0.04250823062552754
Mod minimizer,78,31,0.04250427282900783
Mod minimizer,79,31,0.042529317286748365
Mod minimizer,80,31,0.042505357923275935
Mod minimizer,81,31,0.0425844067525402
Mod minimizer,82,31,0.04251044334591102
Mod minimizer,83,31,0.04259349266639864
Mod minimizer,84,31,0.042668541488943584
Mod minimizer,85,31,0.04260057844858968
Mod minimizer,86,31,0.042414605241445524
Mod minimizer,87,31,0.04249565462629786
Mod minimizer,88,31,0.04253070017091487
Mod minimizer,89,31,0.04260174895390794
Mod minimizer,90,31,0.04243077633909418
Mod minimizer,91,31,0.04255683011471032
Mod minimizer,92,31,0.04249286685088343
Mod minimizer,93,31,0.042607919928633435
Mod minimizer,94,31,0.04251495389071184
Mod minimizer,95,31,0.04263300750270525
Mod minimizer,96,31,0.04255904310909536
Mod minimizer,97,31,0.040098849489550996
Mod minimizer,98,31,0.039928873100690765
Mod minimizer,99,31,0.03992991313148689
Mod minimizer,100,31,0.03992995306535347
Mod minimizer,101,31,0.04004800480048005
Mod minimizer,102,31,0.040096049701019806
Mod minimizer,103,31,0.03991207103124519
Mod minimizer,104,31,0.0399231120805443
Mod minimizer,105,31,0.039989158872522745
Mod minimizer,106,31,0.040093209787027635
Mod minimizer,107,31,0.040023242463701154
Mod minimizer,108,31,0.03992827232513879
Mod minimizer,109,31,0.039940313553863814
Mod minimizer,110,31,0.039990358949125455
Mod minimizer,111,31,0.03992639190310934
Mod minimizer,112,31,0.0399814379396113
Mod minimizer,113,31,0.04004248475829293
Mod minimizer,114,31,0.040103531699082
Mod minimizer,115,31,0.04005156587851015
Mod minimizer,116,31,0.04002160248428569
Mod minimizer,117,31,0.039912629865064345
Mod minimizer,118,31,0.03997467703721335
Mod minimizer,119,31,0.03997671725263581
Mod minimizer,120,31,0.039945753544671815
Mod minimizer,121,31,0.04000380045605473
Mod minimizer,122,31,0.04002984361107694
Mod minimizer,123,31,0.040021882669685704
Mod minimizer,124,31,0.039972916668750254
Mod minimizer,125,31,0.03996595577851653
Mod minimizer,126,31,0.040146018252281535
Mod minimizer,127,31,0.03995503433432612
Mod minimizer,128,31,0.03857589913919068
Mod minimizer,129,31,0.03843291941368495
Mod minimizer,130,31,0.038428957335496276
Mod minimizer,131,31,0.038410993429145786
Mod minimizer,132,31,0.03853204769824847
Mod minimizer,133,31,0.038507082934947416
Mod minimizer,134,31,0.03834610003130416
Mod minimizer,135,31,0.03840114575353097
Mod minimizer,136,31,0.038447190370700046
Mod minimizer,137,31,0.03848523399182289
Mod minimizer,138,31,0.03848127193425499
Mod minimizer,139,31,0.03841930186365718
Mod minimizer,140,31,0.0384033380639909
Mod minimizer,141,31,0.03847538655411758
Mod minimizer,142,31,0.03848242602206911
Mod minimizer,143,31,0.03847646365783941
Mod minimizer,144,31,0.03843449613294701
Mod minimizer,145,31,0.03853654926309388
Mod minimizer,146,31,0.038436573303128954
Mod minimizer,147,31,0.03853062547131881
Mod minimizer,148,31,0.038424648423318226
Mod minimizer,149,31,0.03845569144233347
Mod minimizer,150,31,0.038414723793845286
Mod minimizer,151,31,0.03844676701505226
Mod minimizer,152,31,0.03846880879012731
Mod minimizer,153,31,0.03855185988270217
Mod minimizer,154,31,0.03850589140138441
Mod minimizer,155,31,0.038465923752257845
Mod minimizer,156,31,0.03840295245763093
Mod minimizer,157,31,0.038467000852132935
Mod minimizer,158,31,0.038462038540050786
Mod minimizer,159,31,0.037594940000520084
Mod minimizer,160,31,0.03741994977201375
Mod minimizer,161,31,0.037420987357977276
Mod minimizer,162,31,0.037417024140886684
Mod minimizer,163,31,0.03748107193365325
Mod minimizer,164,31,0.03749111105110133
Mod minimizer,165,31,0.03736112722486488
Mod minimizer,166,31,0.03744117779433607
Mod minimizer,167,31,0.03740520926473795
Mod minimizer,168,31,0.03743525168703173
Mod minimizer,169,31,0.037428287952376
Mod minimizer,170,31,0.037410322344476214
Mod minimizer,171,31,0.03738335517037896
Mod minimizer,172,31,0.03744040230879481
Mod minimizer,173,31,0.03743443872346044
Mod minimizer,174,31,0.03744547806770571
Mod minimizer,175,31,0.03740150786236805
Mod minimizer,176,31,0.037467556822443925
Mod minimizer,177,31,0.03741958584710909
Mod minimizer,178,31,0.03748363460332479
Mod minimizer,179,31,0.03744666550646015
Mod minimizer,180,31,0.037468706898534834
Mod minimizer,181,31,0.037406733211978155
Mod minimizer,182,31,0.03743377551336792
Mod minimizer,183,31,0.03745481677665335
Mod minimizer,184,31,0.03744485240799066
Mod minimizer,185,31,0.03744789041183578
Mod minimizer,186,31,0.03750393822857229
Mod minimizer,187,31,0.03741095843826952
Mod minimizer,188,31,0.037410995856225114
Mod minimizer,189,31,0.037417034402467665
Mod minimizer,190,31,0.036864967478853504
Mod minimizer,191,31,0.03672497774577169
Mod minimizer,192,31,0.03665000015002866
Mod minimizer,193,31,0.036673041223914994
Mod minimizer,194,31,0.03667107751796097
Mod minimizer,195,31,0.03673412642052558
Mod minimizer,196,31,0.036686153799990996
Mod minimizer,197,31,0.0366991930418362
Mod minimizer,198,31,0.036667223443018274
Mod minimizer,199,31,0.03670526764299331
Mod minimizer DW,15,31,0.06241187376623273
Mod minimizer DW,16,31,0.06214493217398261
Mod minimizer DW,17,31,0.06269800316805069
Mod minimizer DW,18,31,0.06280606770315095
Mod minimizer DW,19,31,0.06240512329221926
Mod minimizer DW,20,31,0.06234118448250517
Mod minimizer DW,21,31,0.0623752475049501
Mod minimizer DW,22,31,0.0625703139765935
Mod minimizer DW,23,31,0.062383372434193556
Mod minimizer DW,24,31,0.0625924396261114
Mod minimizer DW,25,31,0.06234949638791331
Mod minimizer DW,26,31,0.06242556063901598
Mod minimizer DW,27,31,0.062373621714164565
Mod minimizer DW,28,24,0.06132665581970713
Mod minimizer DW,29,25,0.05878964611009108
Mod minimizer DW,30,26,0.056706644492690285
Mod minimizer DW,31,27,0.054616638499154976
Mod minimizer DW,32,28,0.05252562829447713
Mod minimizer DW,33,29,0.05077262472399117
Mod minimizer DW,34,30,0.04924362503962631
Mod minimizer DW,35,31,0.04773462297718122
Mod minimizer DW,36,31,0.04769566934842719
Mod minimizer DW,37,31,0.0475307111055998
Mod minimizer DW,38,31,0.04748475693600663
Mod minimizer DW,39,31,0.04765681095881644
Mod minimizer DW,40,31,0.047699860294551484
Mod minimizer DW,41,31,0.04756990279611185
Mod minimizer DW,42,31,0.04764695352509453
Mod minimizer DW,43,31,0.0476890029381234
Mod minimizer DW,44,31,0.04776105372531019
Mod minimizer DW,45,31,0.04768509814431835
Mod minimizer DW,46,31,0.047570140656329536
Mod minimizer DW,47,31,0.04747218372045114
Mod minimizer DW,48,31,0.04771324252239855
Mod minimizer DW,49,31,0.047624285965726355
Mod minimizer DW,50,31,0.0477773410897134
Mod minimizer DW,51,31,0.04775838791939597
Mod minimizer DW,52,31,0.04755542532669166
Mod minimizer DW,53,31,0.047788485001220064
Mod minimizer DW,54,31,0.04764352510683066
Mod minimizer DW,55,31,0.047527566488590384
Mod minimizer DW,56,31,0.04750561280870448
Mod minimizer DW,57,31,0.047648668325426226
Mod minimizer DW,58,31,0.04767671757290166
Mod minimizer DW,59,31,0.04752175626186319
Mod minimizer DW,60,28,0.04709177841492648
Mod minimizer DW,61,28,0.047063823829429766
Mod minimizer DW,62,29,0.04545377268013349
Mod minimizer DW,63,29,0.04542881658662837
Mod minimizer DW,64,30,0.04390276587425008
Mod minimizer DW,65,30,0.043912810419866874
Mod minimizer DW,66,31,0.04267677399030937
Mod minimizer DW,67,31,0.0424758034030246
Mod minimizer DW,68,31,0.04244284367052593
Mod minimizer DW,69,31,0.04256889468483857
Mod minimizer DW,70,31,0.04257293753268976
Mod minimizer DW,71,31,0.04265098556898983
Mod minimizer DW,72,31,0.0425390202704392
Mod minimizer DW,73,31,0.042537062668512135
Mod minimizer DW,74,31,0.0426211113411279
Mod minimizer DW,75,31,0.042716160995913695
Mod minimizer DW,76,31,0.042588194114558595
Mod minimizer DW,77,31,0.04250823062552754
Mod minimizer DW,78,31,0.04250427282900783
Mod minimizer DW,79,31,0.042529317286748365
Mod minimizer DW,80,31,0.042505357923275935
Mod minimizer DW,81,31,0.0425844067525402
Mod minimizer DW,82,31,0.04251044334591102
Mod minimizer DW,83,31,0.04259349266639864
Mod minimizer DW,84,31,0.042668541488943584
Mod minimizer DW,85,31,0.04260057844858968
Mod minimizer DW,86,31,0.042414605241445524
Mod minimizer DW,87,31,0.04249565462629786
Mod minimizer DW,88,31,0.04253070017091487
Mod minimizer DW,89,31,0.04260174895390794
Mod minimizer DW,90,31,0.04243077633909418
Mod minimizer DW,91,31,0.04255683011471032
Mod minimizer DW,92,31,0.04249286685088343
Mod minimizer DW,93,31,0.042607919928633435
Mod minimizer DW,94,30,0.041279839025029325
Mod minimizer DW,95,30,0.04124887739447508
Mod minimizer DW,96,30,0.04120791475190143
Mod minimizer DW,97,31,0.040098849489550996
Mod minimizer DW,98,31,0.039928873100690765
Mod minimizer DW,99,31,0.03992991313148689
Mod minimizer DW,100,31,0.03992995306535347
Mod minimizer DW,101,31,0.04004800480048005
Mod minimizer DW,102,31,0.040096049701019806
Mod minimizer DW,103,31,0.03991207103124519
Mod minimizer DW,104,31,0.0399231120805443
Mod minimizer DW,105,31,0.039989158872522745
Mod minimizer DW,106,31,0.040093209787027635
Mod minimizer DW,107,31,0.040023242463701154
Mod minimizer DW,108,31,0.03992827232513879
Mod minimizer DW,109,31,0.039940313553863814
Mod minimizer DW,110,31,0.039990358949125455
Mod minimizer DW,111,31,0.03992639190310934
Mod minimizer DW,112,31,0.0399814379396113
Mod minimizer DW,113,31,0.04004248475829293
Mod minimizer DW,114,31,0.040103531699082
Mod minimizer DW,115,31,0.04005156587851015
Mod minimizer DW,116,31,0.04002160248428569
Mod minimizer DW,117,31,0.039912629865064345
Mod minimizer DW,118,31,0.03997467703721335
Mod minimizer DW,119,31,0.03997671725263581
Mod minimizer DW,120,31,0.039945753544671815
Mod minimizer DW,121,31,0.04000380045605473
Mod minimizer DW,122,31,0.04002984361107694
Mod minimizer DW,123,31,0.040021882669685704
Mod minimizer DW,124,30,0.0397408881292399
Mod minimizer DW,125,30,0.03967191931799543
Mod minimizer DW,126,30,0.039630953869233654
Mod minimizer DW,127,30,0.03981201631405557
Mod minimizer DW,128,31,0.03857589913919068
Mod minimizer DW,129,31,0.03843291941368495
Mod minimizer DW,130,31,0.038428957335496276
Mod minimizer DW,131,31,0.038410993429145786
Mod minimizer DW,132,31,0.03853204769824847
Mod minimizer DW,133,31,0.038507082934947416
Mod minimizer DW,134,31,0.03834610003130416
Mod minimizer DW,135,31,0.03840114575353097
Mod minimizer DW,136,31,0.038447190370700046
Mod minimizer DW,137,31,0.03848523399182289
Mod minimizer DW,138,31,0.03848127193425499
Mod minimizer DW,139,31,0.03841930186365718
Mod minimizer DW,140,31,0.0384033380639909
Mod minimizer DW,141,31,0.03847538655411758
Mod minimizer DW,142,31,0.03848242602206911
Mod minimizer DW,143,31,0.03847646365783941
Mod minimizer DW,144,31,0.03843449613294701
Mod minimizer DW,145,31,0.03853654926309388
Mod minimizer DW,146,31,0.038436573303128954
Mod minimizer DW,147,31,0.03853062547131881
Mod minimizer DW,148,31,0.038424648423318226
Mod minimizer DW,149,31,0.03845569144233347
Mod minimizer DW,150,31,0.038414723793845286
Mod minimizer DW,151,31,0.03844676701505226
Mod minimizer DW,152,31,0.03846880879012731
Mod minimizer DW,153,31,0.03855185988270217
Mod minimizer DW,154,31,0.03850589140138441
Mod minimizer DW,155,31,0.038465923752257845
Mod minimizer DW,156,31,0.03840295245763093
Mod minimizer DW,157,31,0.038467000852132935
Mod minimizer DW,158,31,0.038462038540050786
Mod minimizer DW,159,31,0.037594940000520084
Mod minimizer DW,160,31,0.03741994977201375
Mod minimizer DW,161,31,0.037420987357977276
Mod minimizer DW,162,31,0.037417024140886684
Mod minimizer DW,163,31,0.03748107193365325
Mod minimizer DW,164,31,0.03749111105110133
Mod minimizer DW,165,31,0.03736112722486488
Mod minimizer DW,166,31,0.03744117779433607
Mod minimizer DW,167,31,0.03740520926473795
Mod minimizer DW,168,31,0.03743525168703173
Mod minimizer DW,169,31,0.037428287952376
Mod minimizer DW,170,31,0.037410322344476214
Mod minimizer DW,171,31,0.03738335517037896
Mod minimizer DW,172,31,0.03744040230879481
Mod minimizer DW,173,31,0.03743443872346044
Mod minimizer DW,174,31,0.03744547806770571
Mod minimizer DW,175,31,0.03740150786236805
Mod minimizer DW,176,31,0.037467556822443925
Mod minimizer DW,177,31,0.03741958584710909
Mod minimizer DW,178,31,0.03748363460332479
Mod minimizer DW,179,31,0.03744666550646015
Mod minimizer DW,180,31,0.037468706898534834
Mod minimizer DW,181,31,0.037406733211978155
Mod minimizer DW,182,31,0.03743377551336792
Mod minimizer DW,183,31,0.03745481677665335
Mod minimizer DW,184,31,0.03744485240799066
Mod minimizer DW,185,31,0.03744789041183578
Mod minimizer DW,186,31,0.03750393822857229
Mod minimizer DW,187,31,0.03741095843826952
Mod minimizer DW,188,31,0.037410995856225114
Mod minimizer DW,189,31,0.037417034402467665
Mod minimizer DW,190,31,0.036864967478853504
Mod minimizer DW,191,31,0.03672497774577169
Mod minimizer DW,192,31,0.03665000015002866
Mod minimizer DW,193,31,0.036673041223914994
Mod minimizer DW,194,31,0.03667107751796097
Mod minimizer DW,195,31,0.03673412642052558
Mod minimizer DW,196,31,0.036686153799990996
Mod minimizer DW,197,31,0.0366991930418362
Mod minimizer DW,198,31,0.036667223443018274
Mod minimizer DW,199,31,0.03670526764299331
